CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,GFN1-xTB,GFN2-xTB,wB97M-V
1.0,1,7,-0.0987796020831994,-0.9360876300108384,-0.1456721560952199,-0.39508499,-0.32510982,-0.070138
1.0,2,9,-0.4531246484240017,-0.3190007562700578,-0.2725466052582416,-0.68036533,-0.66266609,-0.427301
1.0,3,1,0.177826108143122,0.2887785846307994,0.0750983982206216,0.23440761,0.20394272,0.150825
1.0,4,1,0.1774865363130466,0.2887720609454494,0.076448432433118,0.23448731,0.20449929,0.15065
1.0,5,1,0.1791754902356657,0.2879977462226604,0.0736630280047397,0.23428285,0.20403587,0.151233
1.0,6,1,0.0174161158163486,0.3895399944819868,0.193008902694982,0.37227256,0.37529803,0.044948
1.2,1,7,0.0262366444831763,-0.9300204028986294,-0.106332654503552,-0.35137166,-0.28667929,-0.040195
1.2,2,9,-0.6035005760496635,-0.332542152841047,-0.3306187351431485,-0.72576754,-0.73112976,-0.516448
1.2,3,1,0.1789184508324205,0.2957825540672136,0.101529272904235,0.24535456,0.22232446,0.16564
1.2,4,1,0.1779175536900054,0.2959121395314193,0.1032613527718363,0.24530016,0.22266011,0.165176
1.2,5,1,0.1800875577084545,0.2953293501346254,0.10025653295567,0.24540679,0.22246151,0.166111
1.2,6,1,0.0403403981420678,0.3755385120064179,0.1319042310149592,0.34107769,0.35036297,0.060037
1.4,1,7,0.0735346723505179,-0.9064037138381598,-0.0958926797345247,-0.3202727,-0.26015544,-0.015029
1.4,2,9,-0.7086915767394724,-0.399967717234641,-0.3345800681010967,-0.76913564,-0.79048541,-0.593885
1.4,3,1,0.1811771359679769,0.3098276923040632,0.1093881300746769,0.2534072,0.23674759,0.17684
1.4,4,1,0.1800593811406775,0.3100311199856632,0.1111168752280294,0.25326069,0.23700948,0.17632
1.4,5,1,0.1827870494419208,0.3093059942003364,0.107688191447712,0.25355678,0.23701104,0.177521
1.4,6,1,0.0911333513392527,0.3772066245827392,0.1022795510852029,0.32918367,0.33987274,0.078665
1.6,1,7,0.0910078229630138,-0.8962557130404414,-0.0992200752486822,-0.29718408,-0.24448789,0.004338
1.6,2,9,-0.7955153053803703,-0.4278196609032103,-0.3159081084495697,-0.79146713,-0.83780304,-0.658694
1.6,3,1,0.1839877063688358,0.3171500214469867,0.1085757566057957,0.25713603,0.2480649,0.185343
1.6,4,1,0.1829992091703065,0.3173796642424552,0.1099550632242695,0.25696158,0.24822723,0.184908
1.6,5,1,0.1860340900881767,0.3163646645143106,0.1062386930426086,0.25727118,0.24828839,0.186155
1.6,6,1,0.1514864767900373,0.3731810237398996,0.0903586708255779,0.31728242,0.33771042,0.098497
1.8,1,7,0.1149069685786463,-0.8946392511288752,-0.1061671225581459,-0.27932789,-0.2359058,0.019234
1.8,2,9,-0.8751667440800581,-0.4159547420011664,-0.2899605786004905,-0.78937054,-0.8743172,-0.712181
1.8,3,1,0.1865973274843793,0.3172908718043552,0.1051060392514628,0.2563587,0.25671724,0.19173
1.8,4,1,0.1854941458475438,0.3175089863817656,0.1064632666039978,0.25610566,0.2568276,0.191255
1.8,5,1,0.1886624798561916,0.316505793155878,0.1027596956515271,0.25652294,0.25696622,0.192561
1.8,6,1,0.1995058223132948,0.3592883417880424,0.0817986996516485,0.29971113,0.33971193,0.118065
2.4,1,7,0.167655108002988,-0.8927655444786682,-0.1293919916674623,-0.2524358,-0.22957971,0.04504
2.4,2,9,-0.9819126561350142,-0.3803145475443588,-0.1973896197816628,-0.74462728,-0.93296939,-0.823361
2.4,3,1,0.1905794672014068,0.3150291109869048,0.0914090452847738,0.24670721,0.27315528,0.204404
2.4,4,1,0.1891595171924514,0.315373427614623,0.0929724219237659,0.24650149,0.2732677,0.203851
2.4,5,1,0.1925990518245791,0.3144233221247836,0.0892929433717028,0.24701079,0.27363622,0.20533
2.4,6,1,0.2419195119136084,0.3282542312967149,0.0531072008688825,0.25684359,0.3424899,0.165741
3.0,1,7,0.1766662800039844,-0.8957115602835359,-0.1500991132954712,-0.2420678,-0.23172074,0.057324
3.0,2,9,-0.9929972539903632,-0.3603235725753644,-0.1065787551173121,-0.70804719,-0.93080938,-0.888352
3.0,3,1,0.1907356350131986,0.3139936322403026,0.0769766517136134,0.23244276,0.27739686,0.211456
3.0,4,1,0.1887188735939917,0.3155025432336559,0.0798924747544141,0.23291042,0.27774244,0.210892
3.0,5,1,0.1921218063237816,0.3138279756606004,0.0757353554552491,0.23291994,0.2779218,0.212221
3.0,6,1,0.2447546590554385,0.3127109817243411,0.0240733864895065,0.25184187,0.32946902,0.197789
3.6,1,7,0.1776194028684981,-0.8968825504765074,-0.1634710946810665,,,0.063566
3.6,2,9,-0.993689962504726,-0.3474784089990277,-0.0452413423533986,,,-0.927427
3.6,3,1,0.1908704182937983,0.3116845482275376,0.0660220131585549,,,0.215325
3.6,4,1,0.1881632005447766,0.3153872666985123,0.0711298787233078,,,0.214976
3.6,5,1,0.1915011873061871,0.312844905044295,0.066398848723851,,,0.216077
3.6,6,1,0.2455357534914946,0.3044442395051893,0.0051616964287513,,,0.219135
5.0,1,7,0.1737993443360546,-0.8924148384680783,-0.1720110667770549,-0.22683609,,0.06792
5.0,2,9,-0.9932654105918948,-0.3300760415392243,-0.0055991411890085,-0.62516803,,-0.966525
5.0,3,1,0.1912323944515899,0.3086022768997106,0.0603312175732454,0.2060006,,0.219364
5.0,4,1,0.1930460164628009,0.3112393551090521,0.0605785378336634,0.20907066,,0.221167
5.0,5,1,0.1904110821483323,0.3096409510629148,0.0618404444358833,0.2065713,,0.21924
5.0,6,1,0.2447765731931624,0.2930082969356253,-0.0051399918767287,0.23036155,,0.240947
6.4,1,7,0.1774683240296106,-0.8991889977308176,-0.1724908653951359,,,0.067919
6.4,2,9,-0.9935995308095243,-0.3203169356406232,-0.0036214049460929,,,-0.966297
6.4,3,1,0.1914730914615408,0.3110524063610623,0.0605544617331221,,,0.219752
6.4,4,1,0.1909202342689134,0.3107809573018777,0.0609118948190818,,,0.219351
6.4,5,1,0.1887241471946924,0.3096998853219024,0.0622554590935575,,,0.217781
6.4,6,1,0.2450137338548034,0.2879726843865984,-0.0076095453045327,,,0.243945
8.4,1,7,0.179425183363862,-0.902951253694818,-0.1725164453624627,,-0.25070236,0.063617
8.4,2,9,-0.993527561282446,-0.3119462140840445,-0.0034475978229967,,-0.7350761,-0.934762
8.4,3,1,0.1890452082489792,0.3090166261056809,0.0611231991605939,,0.25360175,0.212289
8.4,4,1,0.1878245432734111,0.3090516900257162,0.0622555027155414,,0.25391603,0.21163
8.4,5,1,0.1903968257273547,0.3105379032661163,0.0609924249387903,,0.25346155,0.213521
8.4,6,1,0.2468358006688902,0.2862912483813487,-0.0084070836294662,,0.22479913,0.23651
